char,name,replacement,codepoint,mufidecode,
è,LATIN SMALL LETTER E WITH GRAVE,è,00E8,e,
>,GREATER-THAN SIGN,⟦,003E,>,
ā,LATIN SMALL LETTER A WITH MACRON,a,0101,a,
3,DIGIT THREE,3,0033,3,
W,LATIN CAPITAL LETTER W,W,0057,W,
Æ,LATIN CAPITAL LETTER AE,AE,00C6,AE,
H,LATIN CAPITAL LETTER H,H,0048,H,
t,LATIN SMALL LETTER T,t,0074,t,
ç,LATIN SMALL LETTER C WITH CEDILLA,ç,00E7,c,
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,î,00EE,i,
ğ,LATIN SMALL LETTER G WITH BREVE,g,011F,g,
b,LATIN SMALL LETTER B,b,0062,b,
M,LATIN CAPITAL LETTER M,M,004D,M,
d,LATIN SMALL LETTER D,d,0064,d,
ä,LATIN SMALL LETTER A WITH DIAERESIS,ä,00E4,a,
ī,LATIN SMALL LETTER I WITH MACRON,i,012B,i,
l,LATIN SMALL LETTER L,l,006C,l,
A,LATIN CAPITAL LETTER A,A,0041,A,
Y,LATIN CAPITAL LETTER Y,Y,0059,Y,
1,DIGIT ONE,1,0031,1,
€,EURO SIGN,€,20AC,EUR,
’,RIGHT SINGLE QUOTATION MARK,',2019,',
ě,LATIN SMALL LETTER E WITH CARON,e,011B,e,
í,LATIN SMALL LETTER I WITH ACUTE,i,00ED,i,
),RIGHT PARENTHESIS,),0029,),
ž,LATIN SMALL LETTER Z WITH CARON,z,017E,z,
È,LATIN CAPITAL LETTER E WITH GRAVE,È,00C8,E,
ȩ,LATIN SMALL LETTER E WITH CEDILLA,e,0229,e,
Ç,LATIN CAPITAL LETTER C WITH CEDILLA,Ç,00C7,C,
!,EXCLAMATION MARK,!,0021,!,
&,AMPERSAND,&,0026,&,
C,LATIN CAPITAL LETTER C,C,0043,C,
6,DIGIT SIX,6,0036,6,
²,SUPERSCRIPT TWO,2,00B2,2,
S,LATIN CAPITAL LETTER S,S,0053,S,
R,LATIN CAPITAL LETTER R,R,0052,R,
f,LATIN SMALL LETTER F,f,0066,f,
Z,LATIN CAPITAL LETTER Z,Z,005A,Z,
T,LATIN CAPITAL LETTER T,T,0054,T,
â,LATIN SMALL LETTER A WITH CIRCUMFLEX,â,00E2,a,
ú,LATIN SMALL LETTER U WITH ACUTE,ù,00FA,u,
g,LATIN SMALL LETTER G,g,0067,g,
2,DIGIT TWO,2,0032,2,
Á,LATIN CAPITAL LETTER A WITH ACUTE,À,00C1,A,
e,LATIN SMALL LETTER E,e,0065,e,
œ,LATIN SMALL LIGATURE OE,oe,0153,oe,
ļ,LATIN SMALL LETTER L WITH CEDILLA,l,013C,l,
""",QUOTATION MARK,""",0022,"""
y,LATIN SMALL LETTER Y,y,0079,y
o,LATIN SMALL LETTER O,o,006F,o
i,LATIN SMALL LETTER I,i,0069,i
c,LATIN SMALL LETTER C,c,0063,c
Q,LATIN CAPITAL LETTER Q,Q,0051,Q
u,LATIN SMALL LETTER U,u,0075,u
ø,LATIN SMALL LETTER O WITH STROKE,o,00F8,o
ã,LATIN SMALL LETTER A WITH TILDE,à,00E3,a
q,LATIN SMALL LETTER Q,q,0071,q
v,LATIN SMALL LETTER V,v,0076,v
/,SOLIDUS,/,002F,/
(,LEFT PARENTHESIS,(,0028,(
:,COLON,;,003A,:
],RIGHT SQUARE BRACKET,],005D,]
#,NUMBER SIGN,#,0023,#
ů,LATIN SMALL LETTER U WITH RING ABOVE,ù,016F,u
D,LATIN CAPITAL LETTER D,D,0044,D
ᑕ,CANADIAN SYLLABICS TA,C,1455,ta
O,LATIN CAPITAL LETTER O,O,004F,O
%,PERCENT SIGN,%,0025,%
8,DIGIT EIGHT,8,0038,8
G,LATIN CAPITAL LETTER G,G,0047,G
ì,LATIN SMALL LETTER I WITH GRAVE,î,00EC,i
Š,LATIN CAPITAL LETTER S WITH CARON,S,0160,S
4,DIGIT FOUR,4,0034,4
ß,LATIN SMALL LETTER SHARP S,ß,00DF,s
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,ê,00EA,e
x,LATIN SMALL LETTER X,x,0078,x
Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,Ö,00D6,O
ë,LATIN SMALL LETTER E WITH DIAERESIS,ë,00EB,e
À,LATIN CAPITAL LETTER A WITH GRAVE,À,00C0,A
L,LATIN CAPITAL LETTER L,L,004C,L
Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,Â,00C2,A
=,EQUALS SIGN,=,003D,=
ö,LATIN SMALL LETTER O WITH DIAERESIS,ö,00F6,o
ù,LATIN SMALL LETTER U WITH GRAVE,ù,00F9,u
0,DIGIT ZERO,0,0030,0
ɑ,LATIN SMALL LETTER ALPHA,a,0251,a
—,EM DASH,-,2014,
n,LATIN SMALL LETTER N,n,006E,n
r,LATIN SMALL LETTER R,r,0072,r
å,LATIN SMALL LETTER A WITH RING ABOVE,à,00E5,a
7,DIGIT SEVEN,7,0037,7
ū,LATIN SMALL LETTER U WITH MACRON,û,016B,u
",",COMMA,",",002C,","['\nk,LATIN SMALL LETTER K,k,006B,k\nz,LATIN SMALL LETTER Z,z,007A,z\nÉ,LATIN CAPITAL LETTER E WITH ACUTE,É,00C9,E\np,LATIN SMALL LETTER P,p,0070,p\n–,EN DASH,-,2013,\nû,LATIN SMALL LETTER U WITH CIRCUMFLEX,û,00FB,u\n5,DIGIT FIVE,5,0035,5\nh,LATIN SMALL LETTER H,h,0068,h\ná,LATIN SMALL LETTER A WITH ACUTE,à,00E1,a\nñ,LATIN SMALL LETTER N WITH TILDE,n,00F1,n\nÛ,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,Û,00DB,U\n^,CIRCUMFLEX ACCENT,,005E,^\nF,LATIN CAPITAL LETTER F,F,0046,F\nm,LATIN SMALL LETTER M,m,006D,m\n9,DIGIT NINE,9,0039,9\nU,LATIN CAPITAL LETTER U,U,0055,U\n<,LESS-THAN SIGN,⟧,003C,<\nſ,LATIN SMALL LETTER LONG S,s,017F,s\nï,LATIN SMALL LETTER I WITH DIAERESIS,ï,00EF,i\na,LATIN SMALL LETTER A,a,0061,a\nw,LATIN SMALL LETTER W,w,0077,w\ns,LATIN SMALL LETTER S,s,0073,s\nE,LATIN CAPITAL LETTER E,E,0045,E\nB,LATIN CAPITAL LETTER B,B,0042,B\nô,LATIN SMALL LETTER O WITH CIRCUMFLEX,ô,00F4,o\n-,HYPHEN-MINUS,-,002D,-\n;,SEMICOLON,;,003B,;\n.,FULL STOP,.,002E,.\nP,LATIN CAPITAL LETTER P,P,0050,P\nó,LATIN SMALL LETTER O WITH ACUTE,ô,00F3,o\nń,LATIN SMALL LETTER N WITH ACUTE,n,0144,n\nō,LATIN SMALL LETTER O WITH MACRON,ô,014D,o\nI,LATIN CAPITAL LETTER I,I,0049,I\nř,LATIN SMALL LETTER R WITH CARON,r,0159,r\nJ,LATIN CAPITAL LETTER J,J,004A,J\nN,LATIN CAPITAL LETTER N,N,004E,N\nà,LATIN SMALL LETTER A WITH GRAVE,à,00E0,a\nV,LATIN CAPITAL LETTER V,V,0056,V\nü,LATIN SMALL LETTER U WITH DIAERESIS,ü,00FC,u\nK,LATIN CAPITAL LETTER K,K,004B,K\né,LATIN SMALL LETTER E WITH ACUTE,é,00E9,e\n\',APOSTROPHE,\',0027,\'\nj,LATIN SMALL LETTER J,j,006A,j\nX,LATIN CAPITAL LETTER X,X,0058,X\n[,LEFT SQUARE BRACKET,[,005B,[\nÎ,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,Î,00CE,I\nÜ,LATIN CAPITAL LETTER U WITH DIAERESIS,Ü,00DC,U\nł,LATIN SMALL LETTER L WITH STROKE,l,0142,l\nš,LATIN SMALL LETTER S WITH CARON,s,0161,s\n…,HORIZONTAL ELLIPSIS,...,2026,\n°,DEGREE SIGN,°,00B0,*\n«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,«,00AB,\n»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,»,00BB,\nɔ,LATIN SMALL LETTER OPEN O,,0254,o\nʁ,LATIN LETTER SMALL CAPITAL INVERTED R,,0281,R\nə,LATIN SMALL LETTER SCHWA,,0259,e\nɛ,LATIN SMALL LETTER OPEN E,,025B,e\nɹ,LATIN SMALL LETTER TURNED R,,0279,r\n#r#« ,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,""', '00AB', '']"
#r# »,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,""",00BB,
#r# . ,no space before dot regex,. ,,
#r# "," """,no space before comma regex,"[', ', '', '']"
"""",QUOTATION MARK,,0022,"""",
#,NUMBER SIGN,,0023,#,
%,PERCENT SIGN,,0025,%,
',APOSTROPHE,,0027,',
(,LEFT PARENTHESIS,,0028,(,
",",COMMA,,002C,",",
-,HYPHEN-MINUS,,002D,-,
.,FULL STOP,,002E,.,
/,SOLIDUS,,002F,/,
0,DIGIT ZERO,,0030,0,
4,DIGIT FOUR,,0034,4,
5,DIGIT FIVE,,0035,5,
7,DIGIT SEVEN,,0037,7,
8,DIGIT EIGHT,,0038,8,
9,DIGIT NINE,,0039,9,
:,COLON,,003A,:,
;,SEMICOLON,,003B,;,
<,LESS-THAN SIGN,,003C,<,
=,EQUALS SIGN,,003D,=,
B,LATIN CAPITAL LETTER B,,0042,B,
D,LATIN CAPITAL LETTER D,,0044,D,
E,LATIN CAPITAL LETTER E,,0045,E,
F,LATIN CAPITAL LETTER F,,0046,F,
G,LATIN CAPITAL LETTER G,,0047,G,
I,LATIN CAPITAL LETTER I,,0049,I,
J,LATIN CAPITAL LETTER J,,004A,J,
K,LATIN CAPITAL LETTER K,,004B,K,
L,LATIN CAPITAL LETTER L,,004C,L,
N,LATIN CAPITAL LETTER N,,004E,N,
O,LATIN CAPITAL LETTER O,,004F,O,
P,LATIN CAPITAL LETTER P,,0050,P,
Q,LATIN CAPITAL LETTER Q,,0051,Q,
U,LATIN CAPITAL LETTER U,,0055,U,
V,LATIN CAPITAL LETTER V,,0056,V,
X,LATIN CAPITAL LETTER X,,0058,X,
[,LEFT SQUARE BRACKET,,005B,[,
],RIGHT SQUARE BRACKET,,005D,],
^,CIRCUMFLEX ACCENT,,005E,^,
a,LATIN SMALL LETTER A,,0061,a,
c,LATIN SMALL LETTER C,,0063,c,
h,LATIN SMALL LETTER H,,0068,h,
i,LATIN SMALL LETTER I,,0069,i,
j,LATIN SMALL LETTER J,,006A,j,
k,LATIN SMALL LETTER K,,006B,k,
m,LATIN SMALL LETTER M,,006D,m,
n,LATIN SMALL LETTER N,,006E,n,
o,LATIN SMALL LETTER O,,006F,o,
p,LATIN SMALL LETTER P,,0070,p,
q,LATIN SMALL LETTER Q,,0071,q,
r,LATIN SMALL LETTER R,,0072,r,
s,LATIN SMALL LETTER S,,0073,s,
u,LATIN SMALL LETTER U,,0075,u,
v,LATIN SMALL LETTER V,,0076,v,
w,LATIN SMALL LETTER W,,0077,w,
x,LATIN SMALL LETTER X,,0078,x,
y,LATIN SMALL LETTER Y,,0079,y,
z,LATIN SMALL LETTER Z,,007A,z,
«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,,00AB,,
°,DEGREE SIGN,,00B0,*,
»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,,00BB,,
À,LATIN CAPITAL LETTER A WITH GRAVE,,00C0,A,
Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,,00C2,A,
É,LATIN CAPITAL LETTER E WITH ACUTE,,00C9,E,
Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,,00CE,I,
Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,,00D6,O,
Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,,00DB,U,
Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,,00DC,U,
ß,LATIN SMALL LETTER SHARP S,,00DF,s,
à,LATIN SMALL LETTER A WITH GRAVE,,00E0,a,
á,LATIN SMALL LETTER A WITH ACUTE,,00E1,a,
ã,LATIN SMALL LETTER A WITH TILDE,,00E3,a,
å,LATIN SMALL LETTER A WITH RING ABOVE,,00E5,a,
é,LATIN SMALL LETTER E WITH ACUTE,,00E9,e,
